ID;Name;Beschreibung;Art;Ort_Name;Adresse;Latitude;Longitude;Preis_Ca;Preis_Info;Wetter_Praeferenz;Datum_Von;Datum_Bis;Indoor_Outdoor;Zielgruppe;Dauer_Info;Website;Kontakt_Telefon;Booking_Info;Image_URL
37;Klettersteig Braunwald;Der Klettersteig in Braunwald bietet gesicherte Routen entlang von Felsen mit Blick über das Glarnerland. Trittsicherheit und Schwindelfreiheit sind Voraussetzung. Für geübte Alpinisten ein intensives Erlebnis.;Sport;Braunwald;;46.96382431;8.97762217;52;pro Person (Erwachsene), beinhaltet Mietmaterial und Bahnticket;Nur Sonne;15.06.2025;28.10.2025;Outdoor;Sportliche, Wanderer, Naturfreunde;5 Stunden;https://www.braunwald.ch/Erlebnisse/Sommeraktivitaeten/Klettersteige-und-Klettern-in-Braunwald;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB_IS88WFBB1ZzO1MgRvfODXI_ZB7Ae0Y0C7YrOGXx0Y7-e90wEG0JMwFe7vVfsytD78YI2P5t0oPxqs86vuwCXofLteYftMH08AwX9PODgBdi1WK3tuJj45il1yG_QfAnEms7Q=w408-h272-k-no
38;Taminaschlucht;Die Taminaschlucht beeindruckt mit engen Felswänden und türkisfarbenem Wasser. Ein gesicherter Weg führt Besucher bis zur Thermalquelle, die schon Paracelsus kannte. Ein magischer Ort mit historischer Bedeutung.;Natur;Bad Ragaz;Taminatal;46.97419353;9.487993536;5;pro Person;Nur Sonne;03.05.2025;19.10.2025;Outdoor;Kulturinteressierte, Naturfreunde, Familie, Touristen, Wanderer;2 Stunden;https://heidiland.com/de/informieren/regionen-orte/bad-ragaz/die-taminaschlucht.html#anreise_tamina;0817200820;Nicht nötig;https://heidiland.com/files/heidiland.com/UPLOAD-NEUE-MEDIEN/Johanna/Taminaschlucht/Weg%20durch%20die%20Taminaschlucht.jpg
39;ArboPark;Der ArboPark in Arbon ist der grösste Indoor-Freizeitpark der Schweiz und bietet auf über 6'000 m² mehr als 24 High-End-Attraktionen für Jugendliche und Erwachsene. Zu den Highlights zählen eine 240 Meter lange Elektro-Kartbahn, interaktives Minigolf, Augmented Reality Darts, die Valo Arena sowie die CUBE Challenges – thematisch gestaltete Räume für Teamspiele und Denkaufgaben. Der Park ist von Mittwoch bis Sonntag geöffnet und liegt nur zehn Gehminuten vom Bahnhof Arbon entfernt.;Freizeit;Arbon;Textilstrasse 7;47.50759868;9.429551937;65;pro Person (Erwachsene);Egal;;;Indoor;Kinder, Touristen, Familie, Sportliche;4 Stunden;https://www.arbopark.ch/;0715528000;Online buchen;https://lh3.googleusercontent.com/gps-cs-s/AB5caB-dYxIo_ypiadukltm-DDEw-LRtviU2ci-Ipkorecgu3o0c5nxZVT-B7_TSfJqYUwBqTBLeEXLQH30Xb0bFWhheNIlxtrSTwKhX8DFq0lRWljby8NAX13BHHDQEVlCnDkx6eDcF=w426-h240-k-no
40;Sea Life;Sea Life in Konstanz zeigt Meeresbewohner aus aller Welt – von heimischen Fischen bis zu tropischen Haien. Tunnelbecken und thematische Zonen machen den Besuch besonders eindrucksvoll. Ein spannendes Erlebnis für Kinder und Familien.;Familie;Konstanz;Hafenstraße 9;47.65788591;9.179938824;22;pro Person (Erwachsene);Egal;;;Indoor;Senioren, Familie, Kulturinteressierte, Kinder;3 Stunden;https://www.visitsealife.com/de/konstanz/;+49731146115331;Online buchen;https://lh3.googleusercontent.com/p/AF1QipPhLc5MIX9pyaG3kdLE2l-Z5edFjhrLTP3tP701=w425-h240-k-no
41;Conny-Land;Conny-Land ist ein Freizeitpark mit Shows, Achterbahnen und Tierattraktionen wie Seelöwen. Der Park richtet sich besonders an Familien mit Kindern. Attraktionen wechseln regelmäßig und bieten Unterhaltung für viele Altersklassen.;Familie;Lipperswil;Connylandstrasse 2;47.61467229;9.057445601;35;pro Person (Erwachsene);Nur Sonne;02.04.2025;19.10.2025;Outdoor;Sportliche, Kinder, Familie;1 Tag;https://www.connyland.ch/;0527627272;Online buchen;https://lh3.googleusercontent.com/p/AF1QipP7ELoh2g5jGWdkMZ9o60BOvfnmd36B1XgZ1lbi=w408-h272-k-no
42;Ebenalp;Die Ebenalp ist ein beliebtes Wandergebiet in den Appenzeller Alpen mit traumhaften Ausblicken und direktem Zugang zur Wildkirchli-Höhle. Mit der Seilbahn erreichbar, startet hier auch der Weg zur berühmten Äscher-Klause. Perfekt für Wanderfreunde und Naturbegeisterte.;Natur;Wasserauen;Schwendetalstrasse 82;47.28699555;9.428536276;36;pro Person (Erwachsene) Berg & Talfahrt;Nur Sonne;;;Outdoor;Freunde, Naturfreunde, Touristen, Wanderer;2-6 Stunden;;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB8Jq1sGwzlII_sZn49gbnm0d4U-8LsjxYRvSziLJAy9bkPf6VZ9wrQp2fiLSmcAO8gCdZCESZVWdMuhbFCE9U_nJ2InVhw3XDBNBnzkvNNJFfD40e68mi-yrom7AKdWlZGv9AxB=w408-h306-k-no
43;Appenzeller Schaukäserei;In der Appenzeller Schaukäserei erleben Besucher hautnah die Herstellung des berühmten Appenzeller Käses. Eine interaktive Ausstellung, gläserne Produktionsräume und Kostproben runden das Erlebnis ab. Besonders geeignet für Genussliebhaber und Familien.;Sightseeing;Stein;Dorf 711;47.37344399;9.344872568;13;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;Indoor;Kinder, Geniesser, Touristen, Familie;2 Stunden;http://www.schaukaeserei.ch/;0713685070;Online buchen;https://lh3.googleusercontent.com/p/AF1QipO5XIvywKP7EVtw1tDcgCrCki4UBk6s-odZZx2_=w426-h240-k-no
44;Säntis Schwebebahn;Die Schwebebahn bringt Gäste von der Schwägalp auf den 2.502 Meter hohen Säntis-Gipfel. Oben erwartet sie ein Rundumblick über sechs Länder, ein Panoramarestaurant und Ausstellungen. Ein Highlight für Bergfreunde und Fotografen.;Natur;Schwägalp;Talstation Schwebebahn;47.25751577;9.31818795;58;pro Person (Erwachsene) Berg & Talfahrt;Nur Sonne;;;Outdoor;Firmen, Senioren, Familien, Naturfreunde, Kulturinteressierte;3 Stunden;http://www.saentisbahn.ch/;0713656565;Online buchen;https://lh3.googleusercontent.com/gps-cs-s/AB5caB-Kye-wW9W1pvqdz-C9x_KR3iQj2pZA4bMrErFJaacrFYggNw1q6WxJjWrnkAhlIimXOhK_wLyKFJhXgM5HZhEjRkN-OvzQSxOcGJ2UKGVzvsopQFun4y0oV3_vkAgdjD0LsfvH=w419-h240-k-no
45;Kulturmuseum St. Gallen;Das Kulturmuseum St. Gallen widmet sich der Alltags- und Kulturgeschichte der Region vom Mittelalter bis zur Gegenwart. Es bietet spannende Dauerausstellungen, Sonderthemen und pädagogische Programme. Ein lohnenswerter Besuch für kulturinteressierte Gäste.;Kultur;St. Gallen;Museumstrasse 50;47.42969025;9.383134206;12;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;Indoor;Senioren, Kulturinteressierte, Touristen;3 Stunden;http://www.hvmsg.ch/;0712420642;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AB5caB9yczjbX7npvnUWpgaA_EPw1H_E_XF8Rt9f83kkqfN2ln0Xau457_oLEm81LUoNPZBFBy7WdiQp-0uyfbrn2Bojsg0feD4XdcHHiFc5yAoZWTB34OeS0syr-pLYgQE4uoqyiYko7Q=w426-h240-k-no
46;Blue Cinema Cinedome;Das Blue Cinema Cinedome in Abtwil ist ein modernes Multiplex-Kino mit mehreren Sälen und aktuellem Filmangebot. Komfortable Sitze, 3D-Technologie und ein großes Snackangebot sorgen für ein angenehmes Kinoerlebnis. Perfekt für Filmabende mit Freunden oder der Familie.;Entertainment;Abtwil;Bildstrasse 1;47.41750123;9.310680797;20;pro Person (Erwachsene);Egal;;;Indoor;Paare, Freunde, Jugendliche, Familie, Kinder, Senioren;3 Stunden;https://bluecinema.ch/de/cinemas-de/sg-cinedome/?regionId=c11b037d-feaa-4371-a351-cbdf1af82b9b;0713139511;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNe4qzlT9K1L8P_u43Edax4UU23ZzpGmnFJSDCb=w426-h240-k-no
47;Badminton Säntispark;In der Badmintonhalle des Säntisparks können Sportbegeisterte auf mehreren Plätzen ihre Technik und Ausdauer testen. Die Anlage ist gepflegt und sowohl für Freizeitspieler als auch für Turniere geeignet. Eine dynamische Aktivität für jede Altersklasse.;Sport;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;28;pro Stunde;Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;1 Stunde;https://saentispark-freizeit.ch/sport-spiel/;0587125520;Online buchen;https://hotel-saentispark.ch/wp-content/uploads/goldgelb_rechte-forever_badminton3-uai-1917x1438.jpg
48;Squash Säntispark;Der Säntispark bietet Squash-Courts mit moderner Ausstattung und gepflegter Umgebung. Die schnellen Ballwechsel sorgen für ein intensives Ganzkörpertraining. Ideal für ambitionierte Sportler oder Gelegenheitsspieler.;Sport;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;26;pro 45 Minuten;Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;45 Minuten;https://saentispark-freizeit.ch/sport-spiel/;0587125520;Online buchen;https://hotel-saentispark.ch/wp-content/uploads/goldgelb_rechte-forever_squash4-uai-1917x1438.jpg
49;Minigolf Säntispark;Die Minigolfanlage im Säntispark bietet abwechslungsreiche Bahnen und familienfreundliche Herausforderungen. In entspannter Atmosphäre können Besucher ihr Geschick unter Beweis stellen. Eine gemütliche Freizeitaktivität für alle Altersgruppen.;Freizeit;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;6.5;pro Person (Erwachsene);Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;1.5 Stunden;https://saentispark-freizeit.ch/sport-spiel/;0587125520;Nicht nötig;https://tvstgallen-ost.ch/wp-content/uploads/2023/08/IMG-20230805-WA0025.jpg
50;Bowling Säntispark;Die Bowlingbahn im Säntispark verfügt über moderne Bahnen, bunte Lichteffekte und einen Lounge-Bereich. Ob als Wettkampf oder zur Unterhaltung – Spaß ist garantiert. Besonders beliebt bei Jugendlichen, Familien und Gruppen.;Sport;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;48;pro Stunde;Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;2 Stunden;https://saentispark-freizeit.ch/sport-spiel/;0587125520;Online buchen;https://saentispark-freizeit.ch/wordpress/wp-content/uploads/2023/10/bowling.jpg
51;Billiard Säntispark;Der Billiardbereich des Säntisparks lädt zum konzentrierten Spiel in stilvollem Ambiente ein. Die Tische sind hochwertig und bieten auch Gelegenheit für Turnierspiele. Eine ruhige, taktische Freizeitoption für Jung und Alt.;Freizeit;Abtwil;Wiesenbachstrasse 9;47.41939357;9.315612031;22;pro Stunde;Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;1 Stunde;https://saentispark-freizeit.ch/sport-spiel/;0587125520;Nicht nötig;https://st.gallen-bodensee.ch/assets/images/h/7be0afc685976fba956702c8a059f4804bb007ba-yw7vbv894ayw08b.jpg
52;Minigolf Dreilinden;Die Minigolfanlage Dreilinden liegt idyllisch im Grünen mit Blick auf St. Gallen. Mit abwechslungsreichen Bahnen und schöner Umgebung eignet sie sich perfekt für entspannte Nachmittage. Besonders beliebt bei Familien und Freizeitspielern.;Freizeit;St. Gallen;Dreilindenstrasse 49;47.42358489;9.390795751;5;pro Person (Erwachsene);Nur Sonne;15.04.2025;31.10.2025;Outdoor;Familie, Touristen, Kinder, Sportliche, Jugendliche, Paare;1.5 Stunden;;0712456339;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipP-mxy4vfNyJa1FFvR6beRQS5nSmA_VFgmsx1ex=w408-h306-k-no
53;Kartbahn Sulgen;Die Indoor-Kartbahn Sulgen bietet Rennfeeling mit leistungsstarken Karts und anspruchsvoller Streckenführung. Elektronische Zeitmessung und Sicherheitsausstattung machen sie ideal für Wettkämpfe und Firmenevents. Ein rasanter Spaß für Adrenalinfreunde.;Action;Sulgen;Bädlistrasse 92;47.54399007;9.172650081;27;pro 10 Minuten;Egal;;;Mixed;Familie, Touristen, Kinder, Sportliche, Jugendliche;10 Minuten;http://www.kartbahn-sulgen.ch/;0716422020;Buchung nur für gesamte Bahnmiete möglich;https://lh3.googleusercontent.com/p/AF1QipNlCWlBsjNosEg8bvES_Rxm-F2bnkIpXVStZFFV=w408-h306-k-no
54;Kartbahn Fimmelsberg;Die Kartbahn Fimmelsberg punktet mit langen Geraden und Kurvenkombinationen. Fahrer ab 10 Jahren können hier Motorsportluft schnuppern. Eine actionreiche Aktivität für Teams und Einzelpersonen.;Action;Fimmelsberg;Frauenfelderstrasse 31;47.56088517;9.032009253;23;pro 10 Minuten;Egal;;;Indoor;Familie, Touristen, Kinder, Sportliche, Jugendliche;10 Minuten;https://www.kartbahn-fimmelsberg.ch/;0716511775;Erkundigungs Anruf bezüglich aktueller Kapazität;https://lh3.googleusercontent.com/p/AF1QipOVHkmdBTg_8AAR5cXdnbdrn2NSCiWqh1Gt_z8=w408-h271-k-no
55;Freibad Lerchenfeld;Das Freibad Lerchenfeld bietet großzügige Schwimmbecken, Liegewiesen und Spielbereiche für Kinder. Es ist ein beliebter Treffpunkt an heißen Sommertagen. Besonders Familien schätzen das entspannte Ambiente.;Freizeit;St. Gallen;Zürcherstrasse 152;47.41643063;9.342170254;5.5;pro Person (Erwachsene), Reduktionen verfügbar;Nur Sonne;15.05.2025;15.09.2025;Outdoor;Paare, Geniesser, Senioren, Familien, Jugendliche;4 Stunden;https://www.sport.stadt.sg.ch/home/baeder-sauna/freibad-lerchenfeld.html;0712721370;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOrGaPfY1Ubm_O9aG2Q457n7Jjmi21sltKa2qpz=w408-h544-k-no
56;Freibad Teufen;Im Freibad Teufen laden beheizte Becken, ein Kinderbereich und eine Rutsche zum Verweilen ein. Die gepflegte Anlage liegt in grüner Umgebung mit Aussicht. Ideal für Sonnenhungrige und Wasserratten.;Freizeit;Teufen;Göbsistrasse;47.38339517;9.394233695;7;pro Person (Erwachsene);Nur Sonne;15.05.2025;15.09.2025;Outdoor;Paare, Geniesser, Senioren, Familien, Jugendliche;4 Stunden;https://www.teufen.ch/uebersichtfreibad/28405;0713335503;Nicht nötig;https://tpost.ch/wp-content/uploads/2019/07/Freibad_Teufen-5-1050x589.jpg
57;Hallen- und Freibad Sonnenrein;Das Sonnenrein kombiniert Innen- und Außenbecken mit Saunabereich und Kinderzone. Es ist ganzjährig geöffnet und bietet Sport, Erholung und Familienspaß. Ein vielseitiges Ziel für Jung und Alt.;Freizeit;Wittenbach;Grüntalstrasse 17;47.46515365;9.378767935;10.5;pro Person (Erwachsene);Egal;;;Mixed;Paare, Geniesser, Senioren, Familien, Jugendliche;4 Stunden;http://www.badi-wittenbach.ch/;0712985225;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNko17eW2sV6tXLrGrvjOIBJG-ZZ_XDPqOjhqfT=w426-h240-k-no
58;Hallenbad Herisau;Das Hallenbad Herisau verfügt über ein Sportbecken, Kinderbecken und ein kleines Wellnessangebot. Schwimmkurse und Aquafitness runden das Programm ab. Optimal für sportliche Aktivitäten bei jedem Wetter.;Freizeit;Herisau;Kasernenstrasse 71;47.39015795;9.290032739;12;pro Person (Erwachsene);Egal;;;Indoor;Paare, Geniesser, Senioren, Familien, Jugendliche;4 Stunden;http://www.sportzentrum-herisau.ch/;0713533000;Nicht nötig;https://api.i-web.ch/public/guest/getImageString/g186/8ec80f1e3adc6e0aca04d33cfdc8afe8/360/220/5e1dcbee0afe2//
59;Hallenbad Blumenwies;Das Hallenbad Blumenwies in St. Gallen ist bekannt für seine gute Wasserqualität und familienfreundliche Ausstattung. Es bietet Schwimmkurse, Bahnen zum Training und Entspannungsmöglichkeiten. Besonders geschätzt von Schulen und Freizeitsportlern.;Freizeit;St. Gallen;Martinsbruggstrasse 25;47.4373734;9.408829712;13;pro Person (Erwachsene), Reduktionen verfügbar;Egal;;;Indoor;Paare, Geniesser, Senioren, Familien, Jugendliche;4 Stunden;https://www.sport.stadt.sg.ch/home/baeder-sauna/hallenbad-blumenwies.html;0712881260;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOoHfEXllheD_SVu70WKLbToKD57IHc_5VuJ_uN=w408-h271-k-no
60;Leichtathlethikanlage Neudorf;Die Leichtathletikanlage Neudorf ist ein professionell ausgestattetes Trainingsgelände für Lauf, Wurf und Sprung. Vereine und Schulen nutzen die Anlage regelmäßig für Wettkämpfe und Trainings. Ein Zentrum für ambitionierte Sportler und Nachwuchstalente.;Sport;St. Gallen;Martinsbruggstrasse 8;47.43573914;9.407247985;;;Nur Sonne;15.03.2025;31.10.2025;Outdoor;Sportliche;1 Stunde;https://www.sport.stadt.sg.ch/home/sportanlagen/leichtathletikanlage-neudorf.html;0793119128;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNrZZVsLTlcNpQ032Ke_8Df-f1bDVeAhePLkY0H=w408-h306-k-no
61;Sport- Erholungsanlage Kellen;Die Sport- und Erholungsanlagen Kellen bieten eine moderne Leichtathletik-Tartanbahn, ideal für Lauftraining und Wettkämpfe. Direkt angrenzend befindet sich ein großzügiger und abwechslungsreicher Spielplatz, der Kindern viel Raum zum Spielen und Entdecken bietet. Die Anlage eignet sich hervorragend für sportliche Aktivitäten sowie entspannte Familienausflüge.;Sport;Tübach;Sportfeldstrasse;47.4793187;9.457418695;25;pro Person (variiert nach Bestellung);Nur Sonne;15.03.2025;31.10.2025;Outdoor;Sportliche, Kinder, Familie;1 Stunde;;0718451400;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipMdy0UvapWYzLV9zTcrJCjKpCPCCd5ysGzaWrK6=w408-h306-k-no
62;Brunch Bäckerei Füger;In der Bäckerei Füger erwartet dich ein reichhaltiger Brunch mit frischen Backwaren, Käse, Fleisch und regionalen Spezialitäten. Das gemütliche Ambiente lädt zum Verweilen ein. Ideal für ein entspanntes Frühstück am Wochenende.;Genuss;St. Gallen;Metallstrasse 18;47.42020189;9.354652679;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Freunde, Paare, Geniesser;1.5 Stunden;http://www.fueger-handmade.ch/;0712222012;per Telefon reservieren;https://lh3.googleusercontent.com/p/AF1QipNpBBxmVqkXGBGHSk6CBDMHjJ2F7gpv8U4-1Il6=w408-h272-k-no
63;Brunch Bäckerei Füger;In der Bäckerei Füger erwartet dich ein reichhaltiger Brunch mit frischen Backwaren, Käse, Fleisch und regionalen Spezialitäten. Das gemütliche Ambiente lädt zum Verweilen ein. Ideal für ein entspanntes Frühstück am Wochenende.;Genuss;Steinach;Schulstrasse 2;47.50315647;9.441822012;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Paare, Freunde, Geniesser;1.5 Stunden;http://www.fueger-handmade.ch/;0715710477;per Telefon reservieren;https://lh3.googleusercontent.com/p/AF1QipNjL-vjcOcvVHAgS5Egrhw6Xidql7nKb_xLvQL4=w408-h272-k-no
64;Brunch Gschwend;Der Brunch im Gasthaus Gschwend bietet eine Mischung aus rustikaler Küche und hausgemachten Produkten. In ländlicher Umgebung kannst du genussvoll in den Tag starten. Perfekt für Ausflügler und Geniesser.;Genuss;St. Gallen;Goliathgasse 7;47.42702187;9.376282829;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Freunde, Paare, Geniesser;1.5 Stunden;http://www.cafe-gschwend.ch/;0712286677;per Telefon reservieren;https://lh3.googleusercontent.com/p/AF1QipOvqUp41hxTXKHDmf2osMJqwVBV5zx92R7A7ADs=w408-h240-k-no-pi-0-ya337.6725-ro-0-fo100
65;Brunch Oya;Das Restaurant Oya in St. Gallen serviert einen modernen, vegetarisch inspirierten Brunch mit kreativen Gerichten. Das stilvolle Ambiente schafft den perfekten Rahmen für ein urbanes Frühstückserlebnis. Besonders beliebt bei jungen Paaren und Gruppen.;Genuss;St. Gallen;Schwertgasse 27;47.4277495;9.377548656;25;pro Person (variiert nach Bestellung);Egal;;;Indoor;Paare, Geniesser, Freunde;1.5 Stunden;http://oya-bar.ch/;712442343;per Telefon reservieren;https://lh3.googleusercontent.com/p/AF1QipO5U4gCEeX8OmVTFA4LkEBBtdXyPZ4sIPUCYTTl=w408-h272-k-no
66;Brunch Kafi Franz;Im Kafi Franz verschmilzt gemütliches Café-Feeling mit qualitativ hochwertigem Brunchangebot. Hausgemachtes Granola, Eierspeisen und Kaffeespezialitäten stehen auf der Karte. Ein hipper Treffpunkt im Herzen von St. Gallen.;Genuss;St. Gallen;Linsebühlstrasse 35;47.42472819;9.381980627;25;pro Person (variiert nach Bestellung);Egal;;;Indoor;Freunde, Geniesser, Paare;1.5 Stunden;http://www.kafi-franz.ch/;0715253433;Online reservieren;https://lh3.googleusercontent.com/p/AF1QipPmZh--0EzCMOpNlgIbo8LNWfUUFmS3vCUv2Bxq=w408-h597-k-no
67;Brunch Drahtseilbähnli;Das Restaurant Drahtseilbähnli in der St. Galler Altstadt ist bekannt für seinen liebevoll zubereiteten Brunch am Wochenende, der sowohl klassische als auch kreative Speisen umfasst. Besonders beliebt sind hausgemachtes Granola, vegane Optionen wie Randenhummus und Crêpes mit Ahornsirup sowie Spezialitäten aus der Region.;Genuss;St. Gallen;St. Georgen-Strasse 3;47.42239015;9.377326241;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Freunde, Paare, Geniesser;1.5 Stunden;https://www.drahtseilbaehnli.ch/;0712224217;per Telefon reservieren;https://lh3.googleusercontent.com/p/AF1QipNiIkEwZv_RCBCMYsE4XPnmGteGKX6Q7efWpsUa=w408-h488-k-no
68;Wanderung Hoher Kasten;Die Wanderung auf den Hohen Kasten führt über aussichtsreiche Wege mit Panoramablick auf das Rheintal und Appenzellerland. Oben erwartet dich ein Drehrestaurant mit 360°-Aussicht. Ideal für ambitionierte Wanderer mit Genussmomenten.;Sport;Brülisau;;47.28393921;9.48600235;;;Nur Sonne;15.05.2025;31.10.2025;Outdoor;Wanderer, Naturfreunde, Sportliche;4 Stunden;http://www.hoherkasten.ch/;0717991322;Abklärung bei Bergbahnen, ob der Bergwanderweg begehbar ist.;https://lh3.googleusercontent.com/p/AF1QipPOajZu368fjyDUJrOns3GD-ccvMJE5NYncsqH8=w408-h272-k-no
69;Wanderung Fählensee;Diese Route führt durch idyllische Landschaften zum mystisch wirkenden Fählensee, eingebettet zwischen steilen Felswänden. Die Wanderung ist mittelschwer und besonders für Naturfreunde lohnenswert. Ideal im Sommer und Herbst.;Sport;Brülisau;;47.25103016;9.415451396;;;Nur Sonne;30.04.2025;31.10.2025;Outdoor;Naturfreunde, Wanderer, Sportliche, Touristen;5 Stunden;https://www.bollenwees.ch/;0717991170;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOAc_blJQV0K_JIZIdvNEdDUNtnKbjouTFOiuXJ=w408-h272-k-no
70;Wanderung Seealpsee;Eine der beliebtesten Wanderungen der Ostschweiz führt zum türkisfarbenen Seealpsee. Der Weg ist familienfreundlich und gut ausgeschildert. Das Bergpanorama lädt zum Verweilen und Fotografieren ein.;Natur;Wasserauen;;47.26863189;9.400470441;;;Nur Sonne;;;Outdoor;Naturfreunde, Wanderer, Sportliche, Touristen;3 Stunden;http://www.seealpsee.ch/;0717991140;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipN0biGTyFeTn3A6SAk0zz2nge8RKCv-p2JLxy8w=w408-h272-k-no
71;Säntis Wanderung;Die Säntis-Wanderung führt über anspruchsvolle Pfade auf einen der höchsten Gipfel der Ostschweiz. Belohnt wird man mit spektakulären Aussichten bis zum Bodensee. Besonders für erfahrene Berggänger geeignet.;Sport;Schwägalp;Talstation Schwebebahn Schwägalp;47.24996661;9.343191332;35;pro Person (variiert nach Bestellung);Nur Sonne;30.06.2025;31.10.2025;Outdoor;Wanderer, Naturfreunde, Sportliche;5 Stunden;http://www.saentisbahn.ch/;0713656565;Abklärung bei Bergbahnen, ob der Bergwanderweg begehbar ist.;https://lh3.googleusercontent.com/p/AF1QipMMo_WQ4WtHhGDH65wH60YWlay8E16QDjnawLjW=w408-h271-k-no
72;Hoher Kasten Drehrestaurant;Im Drehrestaurant Hoher Kasten genießt du kulinarische Spezialitäten bei einer sich langsam drehenden 360°-Aussicht. Das Restaurant liegt auf dem gleichnamigen Berg und ist bequem mit der Seilbahn erreichbar. Ein Highlight für Geniesser mit Fernblick.;Freizeit;Brülisau;Hoher Kasten 1;47.28363064;9.485480702;40;pro Person (Erwachsene) Berg & Talfahrt, Essenspreis variiert nach Bestellung;Nur Sonne;;;Mixed;Freunde, Paare, Geniesser, Touristen, Familie, Kinder, Senioren;4 Stunden;http://www.hoherkasten.ch/;0717991117;Online reservieren;https://lh3.googleusercontent.com/p/AF1QipM9AOHKyUshbmDVivX34bX7o9OWDzGDp1Wb5qO7=w408-h291-k-no
73;Äscher & Wildkirchli;Die Wanderung zur Äscher-Wildkirchli-Kombination ist bekannt für das Felsenrestaurant am Steilhang und die historische Höhlenkirche. Die Strecke bietet sowohl Natur- als auch Kulturerlebnis. Besonders beliebt bei Wanderern und Fotofans.;Kultur;Wasserauen;;47.2847001;9.414997466;24;pro Person (Erwachsene) Bergfahrt;Nur Sonne;15.05.2025;01.11.2025;Outdoor;Familie, Sportliche, Freunde, Touristen, Kulturinteressierte, Naturfreunde;4 Stunden;https://www.ebenalp.ch/sommer/aescher-und-wildkirchli;0717889641;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNNwXx4EXLp7AyeaOgcUIuXoVRt0nsP67A_QzsC=w408-h306-k-no
74;Wanderung Schäfler;Die Tour zum Schäfler verläuft über alpine Wege mit atemberaubenden Ausblicken auf die Alpstein-Kette. Trittsicherheit ist erforderlich, die Belohnung ist ein unvergleichliches Panorama. Ein Klassiker unter den Ostschweizer Gipfeltouren.;Sport;Wasserauen;;47.27688513;9.391501609;36;pro Person (Erwachsene) Berg & Talfahrt;Nur Sonne;15.05.2025;31.10.2025;Outdoor;Sportliche, Wanderer, Naturfreunde;5 Stunden;http://www.schaefler.ch/;0717991144;Nicht nötig;https://lh3.googleusercontent.com/gps-proxy/ALd4DhH8YG9kkfocSfvns8krStayck1QXScq1rShhkbxocjp8Gy6KbX89fhMin9NJycZQDn9dTtruH9h6lx5rmkFr2Orsh8GhXJ_gheNFvonAg4oBOWCFWASZnupyux0xHKps73AZm6DNgO9Nt7k5aY6aZ3CrFJ1Y4w10QyihQezGEaAu-PvUYYs68JJHg=w408-h300-k-no
75;Wanderung Gäbris;Der Gäbris ist ein gut erreichbarer Aussichtspunkt im Appenzellerland. Die Wanderung eignet sich für Familien und bietet unterwegs Einkehrmöglichkeiten. Oben angekommen wartet eine grandiose Sicht auf den Bodensee.;Natur;Gais;Oberer Gäbris 926;47.3800304;9.468011748;;;Nur Sonne;;;Outdoor;Naturfreunde, Sportliche, Wanderer, Familien, Studenten;4 Stunden;http://www.oberergaebris.ch/;0715710690;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipMLeXoOcVS-hZQlO_TByYMGUrs8h0sSRl8l38rP=w426-h240-k-no
